name,price,change,high_low,volume,marketcap
BTC/USDT,"39,013.89/ 39,015.68 USD",1.68 %,"39,460.47/37,705.96","777,180,925.10 USDT",
ETH/USDT,"2,864.57/ 2,864.7 USD",0.35 %,"2,919.55/2,767.72","500,905,963.36 USDT",
BTC/USDC,"39,010.70/ 39,008.58 USD",1.67 %,"39,445.20/37,757.36","85,794,581.99 USDC",
USDC/USDT,1.0000/ 1 USD,0.02 %,1.0002/0.9998,"61,942,408.3780 USDT",
BUSD/USDT,1.0000/ 1 USD,0.01 %,1.0002/0.9998,"61,440,267.9836 USDT",
ETH/USDC,"2,865.06/ 2,864.9 USD",0.37 %,"2,918.06/2,768.64","45,839,015.90 USDC",
TUSD/USDT,1.0000/ 1 USD,0.00 %,1.0002/0.9999,"42,533,470.4971 USDT",
BNB/USDT,389.20/ 389.22 USD,0.02 %,394.61/381.49,"24,363,938.15 USDT",
DAI/USDT,0.9998/ 1 USD,0.02 %,1.0001/0.9993,"22,383,182.3024 USDT",
BCH/USDT,306.30/ 306.31 USD,1.79 %,309.31/291.49,"20,939,530.63 USDT",
DOGE/USDT,0.139900/ 0.140 USD,-0.78 %,0.145584/0.135198,"8,790,623.048150 USDT",
USDP/USDT,0.9999/ 1 USD,0.01 %,1.0002/0.9996,"8,618,354.4734 USDT",
SAND/USDT,2.5268/ 2.53 USD,-1.37 %,2.5741/2.4380,"8,512,339.2556 USDT",
LTC/USDT,100.31/ 100.31 USD,0.03 %,101.84/96.67,"8,225,908.52 USDT",
AMA/USDT,0.050162/ 0.0502 USD,4.79 %,0.053000/0.046001,"6,654,975.423000 USDT",
BOBC/USDT,2.9223/ 2.92 USD,-4.60 %,3.0942/2.8301,"6,557,703.7532 USDT",
LUNA/USDT,89.2200/ 89.21 USD,0.24 %,90.5301/86.9199,"6,403,537.0518 USDT",
APE/USDT,19.6625/ 19.66 USD,10.71 %,19.7902/17.6271,"5,475,878.4339 USDT",
NEAR/USDT,12.7160/ 12.72 USD,-3.61 %,13.2720/12.3864,"4,754,225.4795 USDT",
GALA/USDT,0.168660/ 0.169 USD,-2.02 %,0.172860/0.161729,"4,361,950.273788 USDT",
SOL/USDT,97.97/ 97.97 USD,0.43 %,100.70/94.62,"4,062,697.87 USDT",
FTM/USDT,0.9860/ 0.986 USD,-1.07 %,1.0156/0.9595,"4,013,175.9032 USDT",
SHIB/USDT,0.0000231200/ 0.000023 USD,-0.37 %,0.0000239801/0.0000225964,"3,914,804.8157704574 USDT",
MATIC/USDT,1.258000/ 1.26 USD,-0.71 %,1.291000/1.224999,"3,892,574.981074 USDT",
MR/USDT,0.000182577/ 0.000183 USD,4.51 %,0.000182760/0.000172661,"3,821,273.139156478 USDT",
AXS/USDT,38.0001/ 38 USD,-3.33 %,40.1200/37.9400,"3,636,996.1433 USDT",
MCONTENT/USDT,0.000000008808/ &lt; 0.000001 USD,2.11 %,0.000000009400/0.000000008624,"3,622,357.595754645866 USDT",
GMT/USDT,3.81419/ 3.81 USD,18.06 %,3.91331/3.17530,"3,595,343.87144 USDT",
ADA/USDT,0.8347/ 0.835 USD,0.23 %,0.8552/0.8175,"3,031,613.5075 USDT",
ENS/USDT,18.99/ 18.98 USD,30.79 %,19.25/14.08,"2,660,449.05 USDT",
PIE/USDT,0.36114/ 0.361 USD,-27.72 %,0.50000/0.35853,"2,579,679.11874 USDT",
MELON/USDT,0.3270/ 0.327 USD,-6.70 %,0.3505/0.3000,"2,334,973.4062 USDT",
SLP/USDT,0.013720/ 0.0137 USD,-1.15 %,0.014460/0.013580,"2,318,505.520908 USDT",
ZRX/USDT,0.8660/ 0.866 USD,10.60 %,0.9091/0.7749,"2,291,416.0350 USDT",
MANA/USDT,1.8433/ 1.84 USD,-0.32 %,1.8881/1.7807,"1,953,794.3587 USDT",
LOCUS/USDT,0.16448999/ 0.164 USD,-1.96 %,0.16998998/0.15850000,"1,859,791.95246825 USDT",
OUD/USDT,0.018135/ 0.0181 USD,25.49 %,0.018990/0.012488,"1,808,518.762777 USDT",
ATOM/USDT,21.5275/ 21.53 USD,4.20 %,21.8579/20.0100,"1,658,259.2630 USDT",
AAVE/USDT,172.5000/ 172.51 USD,7.34 %,175.0000/155.4000,"1,578,305.9358 USDT",
TRX/USDT,0.062550/ 0.0626 USD,-0.24 %,0.063670/0.061670,"1,565,561.737604 USDT",
NYM/USDT,1.084200/ 1.08 USD,-6.36 %,1.159900/1.022700,"1,501,553.354396 USDT",
MRHB/USDT,0.035989/ 0.0360 USD,-0.89 %,0.036315/0.035457,"1,372,815.382246 USDT",
GAIA/USDT,0.0442173/ 0.0442 USD,-6.76 %,0.0506355/0.0438253,"1,356,735.5804220 USDT",
EOS/USDT,2.2380/ 2.24 USD,-0.53 %,2.2810/2.1502,"1,354,738.2819 USDT",
ADS/USDT,4.4885/ 4.49 USD,1.50 %,4.6029/4.1579,"1,307,998.3603 USDT",
VODKA/USDT,0.00056606/ 0.000566 USD,-0.66 %,0.00057295/0.00056002,"1,248,662.43693418 USDT",
LED/USDT,0.1750/ 0.175 USD,0.23 %,0.2101/0.1579,"1,232,086.2229 USDT",
