name,price,change,high_low,volume,marketcap
BTC/USDT,"39,021.90/ $39,021.90",+1.75%,"39,474.72 / 37,702.26","2,556.86M","$742,331.16M"
ETH/USDT,"2,865.70/ $2,865.70",+0.43%,"2,919.87 / 2,767.00","1,612.14M","$345,446.70M"
GMT/USDT,3.81685/ $3.82,+18.42%,3.93933 / 3.17000,876.73M,"$2,292.00M"
APE/USDT,19.6607/ $19.66,+10.92%,19.7930 / 17.6033,530.54M,"$5,600.02M"
BUSD/USDT,1.0000/ $1.00,+0.01%,1.0001 / 0.9999,485.92M,"$17,552.94M"
DOGE/USDT,0.1400/ $0.14,-0.64%,0.1456 / 0.1350,428.45M,"$18,573.90M"
LUNA/USDT,89.21/ $89.21,+0.30%,90.64 / 86.74,316.38M,"$30,911.27M"
BNB/USDT,389.2/ $389.20,+0.15%,394.8 / 380.8,247.12M,"$63,547.39M"
XRP/USDT,0.6473/ $0.64,-0.55%,0.6630 / 0.6276,221.99M,"$31,138.51M"
NEAR/USDT,12.712/ $12.71,-3.58%,13.281 / 12.362,218.46M,"$8,651.72M"
SOL/USDT,97.99/ $97.99,+0.51%,100.79 / 94.61,197.51M,"$32,699.59M"
SHIB/USDT,0.00002310/ $0.00,-0.56%,0.00002399 / 0.00002256,170.86M,"$12,628.45M"
UST/USDT,1.0002/ $1.00,-0.04%,1.0008 / 1.0000,169.35M,"$18,375.95M"
ADA/USDT,0.8347/ $0.83,+0.25%,0.8562 / 0.8150,146.34M,"$28,173.25M"
USDC/USDT,1.0000/ $1.00,+0.01%,1.0001 / 0.9999,121.25M,"$49,472.66M"
BSW/USDT,1.2455/ $1.25,+14.70%,1.3700 / 1.0589,99.14M,$275.61M
AVAX/USDT,69.65/ $69.65,+1.00%,71.98 / 67.50,94.46M,"$18,708.93M"
SLP/USDT,0.01373/ $0.01,-1.01%,0.01450 / 0.01356,79.36M,$73.80M
AAVE/USDT,172.1/ $172.10,+6.83%,175.5 / 154.5,78.34M,"$2,355.14M"
DOT/USDT,16.90/ $16.90,-0.41%,17.27 / 16.40,77.51M,"$16,690.09M"
JASMY/USDT,0.0204/ $0.02,-2.86%,0.0214 / 0.0201,75.82M,$97.00M
ATOM/USDT,21.53/ $21.53,+4.26%,21.88 / 19.97,74.65M,"$6,165.55M"
RUNE/USDT,7.649/ $7.65,+0.24%,8.199 / 7.435,74.61M,"$2,529.76M"
ZRX/USDT,0.8656/ $0.86,+10.93%,0.9113 / 0.7735,74.15M,$733.59M
TRX/USDT,0.06254/ $0.06,-0.24%,0.06372 / 0.06158,71.68M,"$6,356.62M"
ZIL/USDT,0.09432/ $0.09,+1.10%,0.09724 / 0.09001,67.93M,"$1,198.34M"
FTM/USDT,0.9859/ $0.98,-1.20%,1.0158 / 0.9578,66.72M,"$2,509.12M"
ENS/USDT,18.98/ $18.98,+31.06%,19.30 / 14.02,65.29M,$384.44M
MATIC/USDT,1.257/ $1.26,-0.95%,1.292 / 1.224,64.18M,"$9,884.53M"
STEEM/USDT,0.5356/ $0.53,+14.25%,0.5900 / 0.4107,64.11M,$211.57M
SAND/USDT,2.5247/ $2.52,-1.60%,2.5773 / 2.4310,60.73M,"$2,919.26M"
WAVES/USDT,15.87/ $15.87,+1.67%,16.86 / 14.78,58.15M,"$1,715.73M"
GALA/USDT,0.16871/ $0.16,-1.86%,0.17293 / 0.16111,54.19M,"$1,177.12M"
ROSE/USDT,0.21986/ $0.21,+1.89%,0.23163 / 0.20625,50.80M,$767.97M
LINK/USDT,12.67/ $12.67,+0.08%,12.80 / 12.14,46.35M,"$5,917.01M"
KNC/USDT,5.433/ $5.43,+5.05%,5.587 / 5.090,44.13M,$965.50M
OGN/USDT,0.5239/ $0.52,-0.36%,0.5704 / 0.5017,42.67M,$203.57M
FIL/USDT,17.57/ $17.57,-1.29%,18.02 / 17.00,41.64M,"$3,403.07M"
CAKE/USDT,7.530/ $7.53,-2.16%,7.848 / 7.357,38.71M,"$2,182.80M"
VET/USDT,0.05155/ $0.05,-0.81%,0.05297 / 0.05033,37.10M,"$3,315.46M"
GRT/USDT,0.3498/ $0.34,-5.74%,0.3729 / 0.3325,36.16M,"$1,649.56M"
AXS/USDT,38.03/ $38.03,-3.18%,40.13 / 37.92,35.95M,"$2,316.31M"
EUR/USDT,1.056/ $1.06,-0.66%,1.066 / 1.051,35.78M,–
LTC/USDT,100.3/ $100.30,-0.10%,102.0 / 96.3,33.47M,"$7,036.94M"
EOS/USDT,2.237/ $2.24,-0.45%,2.283 / 2.146,33.31M,"$2,213.01M"
MANA/USDT,1.8430/ $1.84,-0.42%,1.8905 / 1.7751,32.35M,"$3,390.15M"
XMR/USDT,224.2/ $224.20,-6.78%,244.4 / 223.3,30.37M,"$4,060.97M"
SNX/USDT,5.892/ $5.89,+5.12%,6.038 / 5.367,29.48M,$676.41M
ALPINE/USDT,5.7656/ $5.77,+5.27%,6.3296 / 5.1939,28.71M,$65.54M
ETC/USDT,30.89/ $30.89,-1.47%,31.68 / 29.84,28.09M,"$4,153.68M"
