name,price,change,high_low,volume,marketcap
GT/ GateToken ,6.1721,-0.04 %,6.2255/6.1033,"4,954,043.72","$807,477,796"
BTC/ Bitcoin ,39030.94,+2.40 %,39465.9/37707.01,"178,435,313.90","$742,459,459,921"
ETH/ Ethereum ,2864.02,+0.48 %,2919.53/2766.21,"120,839,173.15","$345,235,576,118"
DOGE/ DogeCoin ,0.140376,-1.05 %,0.145656/0.13501,"88,778,976.13","$18,623,791,209"
GMT/ StepN ,3.77884,+17.18 %,3.86991/3.17255,"53,347,962.85","$2,267,304,000"
JASMY/ JasmyCoin ,0.020438,-0.44 %,0.021488/0.020101,"48,728,008.65","$97,181,275"
APE/ ApeCoin ,19.4555,+8.58 %,19.7777/17.5083,"47,030,802.79","$5,541,777,578"
LUNA/ Terra ,89.057,+0.33 %,90.6495/86.7266,"45,730,082.70","$31,314,935,776"
XRP/ Ripple ,0.64983,-0.21 %,0.66309/0.62752,"45,662,157.43","$31,279,703,293"
NEAR/ Near ,12.779,-3.71 %,13.373/12.385,"43,648,470.71","$8,656,899,477"
SHIB/ Shiba Inu ,0.000023109,-0.04 %,0.000023983/0.000022565,"39,769,332.82","$12,688,303,312"
FITFI/Step.app,0.3290288,-1.47 %,0.3944067/0.23,"30,031,375.81",$-
DOT/ Polkadot ,16.924,+0.37 %,17.272/16.411,"29,016,150.72","$16,713,792,310"
AVAX/ Avalanche ,69.434,+1.58 %,71.979/67.537,"26,511,529.09","$18,643,033,791"
BNB/ Binance Coin ,389.3375,+0.54 %,394.8098/380.8511,"26,352,162.67","$65,461,731,272"
POSI/Position Token,0.632,-11.53 %,0.7242/0.6283,"23,249,400.04","$15,039,085"
ADA/ Cardano ,0.8361,+0.48 %,0.8561/0.8166,"22,363,086.57","$28,209,201,742"
SOL/ Solana ,97.9615,+1.49 %,100.7476/94.6606,"20,457,347.97","$32,663,907,661"
SLP/ SmoothLovePotion ,0.01373,-1.57 %,0.01448/0.01356,"17,957,641.89","$29,452,714"
FIL/ Filecoin(IPFS) ,17.58,-1.40 %,18.02/17.01,"17,532,973.05","$3,516,000,000"
AAVE/ AAVE ,172.21,+4.09 %,175.42/154.5,"15,514,371.50","$2,356,104,203"
EOS/ EOS ,2.238,-0.26 %,2.282/2.144,"15,204,354.89","$2,201,110,932"
KDA/ Kadena ,4.6477,-0.66 %,4.8324/4.5501,"11,966,035.61","$773,887,793"
ENS/ ENS ,18.67,+27.92 %,19.04/14.032,"11,106,981.11","$255,638,359"
TRX/ TRON ,0.06257,+0.03 %,0.06369/0.06155,"10,459,127.22","$6,359,448,595"
ZIL/ Zilliqa ,0.09425,+0.38 %,0.09721/0.09018,"10,066,796.05","$1,194,625,096"
ELON/ Dogelon Mars ,0.0000010274,+4.82 %,0.000001077/0.0000009801,"9,983,806.64","$570,883,974"
FLUX/ Flux ,1.31601,+2.41 %,1.43745/1.26975,"9,798,146.73","$193,299,422"
ROSE/ Oasis Network ,0.21928,+0.43 %,0.23173/0.20619,"9,743,783.97","$765,948,177"
VRA/ Verasity ,0.017065,-1.89 %,0.018256/0.016583,"9,477,562.01","$76,283,713"
MATIC/ Polygon ,1.25763,-0.88 %,1.29169/1.22328,"9,150,431.52","$9,820,193,896"
ETC/ Ethereum Classic ,30.99,-0.55 %,31.684/29.861,"8,130,988.01","$4,162,070,764"
GLMR/ Moonbeam Network ,3.0175,-3.83 %,3.1761/2.905,"7,930,621.69",$-
GRT/ The Graph ,0.3498,-8.52 %,0.385/0.3327,"7,610,474.45","$1,649,564,173"
SAND/ Sandbox ,2.5258,-1.27 %,2.5822/2.4314,"7,426,476.93","$2,326,131,265"
PEOPLE/ ConstitutionDAO ,0.046228,+5.82 %,0.04767/0.0408,"7,381,008.79","$233,616,529"
LINK/ ChainLink ,12.71,+0.55 %,12.799/12.151,"7,317,356.69","$5,935,691,381"
ZEC/ ZCash ,146.73,-2.89 %,152.48/143.23,"7,227,032.67","$2,083,683,384"
XMR/ Monero ,224.96,-5.93 %,244.08/223.29,"7,213,941.17","$4,073,921,219"
CRV/ Curve ,2.4114,-4.84 %,2.5446/2.3462,"7,156,492.40","$1,140,374,699"
XYO/ XYO Network ,0.016011,-0.57 %,0.016727/0.015707,"6,984,640.47","$89,315,763"
MANA/ Decentraland ,1.8441,-0.31 %,1.8906/1.7756,"6,815,709.77","$3,397,730,957"
ASTR/ Astar Token ,0.15672,-4.84 %,0.16709/0.15388,"6,466,608.30","$412,638,322"
BTC/Bitcoin,39039.1,+2.32 %,39452.66/37697.83,"6,313,200.84","$742,614,682,142"
QRDO/ Qredo Token ,1.75232,-4.16 %,1.8398/1.67311,"6,080,896.16","$90,177,354"
GALA/ Gala Games ,0.16875,-1.63 %,0.17297/0.16127,"5,993,058.94","$1,177,403,417"
UNI/ Uniswap ,8.282,+0.52 %,8.403/7.908,"5,878,746.56","$5,712,167,660"
RUNE/ THORChain ,7.639,+0.11 %,8.047/7.441,"5,820,577.19","$1,758,810,999"
ACA/ Acala ,1.1135,-1.18 %,1.1615/1.0823,"5,608,490.60",$-
ORBR/Orbler,32.1022,-0.82 %,35.4078/31.7041,"5,561,807.01",$-
RACA/ Radio Caca ,0.00130984,+1.53 %,0.00133583/0.00125,"5,529,115.47","$392,168,497"
XCN/ Chain ,0.08693,-4.80 %,0.092549/0.083302,"5,450,028.22","$1,432,803,703"
MOOV/dotmoovs,0.065126,+39.79 %,0.070746/0.0461,"5,201,840.86","$32,302,496"
ATOM/ Cosmos ,21.4782,+4.27 %,21.8823/19.9533,"5,039,340.10","$6,150,718,513"
XCAD/Xcad Network,4.83667,+24.80 %,4.96915/3.82804,"4,832,934.37","$117,570,916"
SUSHI/ Sushiswap ,2.962,-2.40 %,3.068/2.857,"4,797,515.21","$376,898,040"
AR/ Arweave ,26.56,+4.83 %,28.25/24.764,"4,749,606.59","$886,963,259"
IMX/ Immutable ,1.67696,+2.21 %,1.74206/1.61857,"4,722,839.51","$460,220,462"
BCH/ BitcoinCash ,307.27,+2.16 %,309.47/291.27,"4,716,931.88","$5,850,605,162"
ETH/Ethereum,2864.23,+0.22 %,2920.9/2767.1,"4,701,109.97","$345,260,890,002"
LRC/ Loopring ,0.8461,+1.68 %,0.8701/0.8065,"4,517,061.85","$1,125,069,834"
FTM/ Fantom ,0.9825,-0.79 %,1.01514/0.95728,"4,514,018.23","$2,500,468,663"
FLOW/ Flow ,5.224,-0.17 %,5.323/5.068,"4,496,129.97","$1,596,748,449"
POLC/ Polka City ,0.1396,+0.28 %,0.1479/0.1322,"4,375,467.85","$1,215,499"
CAKE/ PancakeSwap ,7.494,-1.52 %,7.972/7.361,"4,219,973.05","$2,158,344,534"
MOVR/ Moonriver ,46.3477,-1.88 %,48.0694/45.1384,"4,160,545.41","$115,977,982"
LOOKS/ LooksRare ,1.4574,-0.88 %,1.5119/1.3818,"4,117,152.83","$357,893,345"
PYR/ Vulcan Forged ,10.03,-1.18 %,10.489/9.858,"3,821,967.83","$199,573,931"
KSM/ Kusama ,158.81,+3.42 %,163.92/152.27,"3,764,279.22","$1,345,136,263"
XLM/ Stellar ,0.1843,+1.43 %,0.1868/0.1778,"3,748,586.53","$4,565,385,237"
DYDX/ dYdX ,4.143,-3.60 %,4.326/3.9615,"3,640,409.14","$271,653,589"
VET/ Vechain ,0.05156,-1.07 %,0.05295/0.05034,"3,617,498.93","$3,316,111,150"
CEEK/CEEK Smart VR Token,0.41095,-0.17 %,0.43621/0.405,"3,535,550.88","$305,819,427"
ENJ/ Enjin Coin ,1.2897,-1.37 %,1.3258/1.2553,"3,395,780.72","$1,132,645,112"
LOKA/ League of Kingdoms ,2.37452,+3.04 %,2.4672/2.20026,"3,262,406.38","$120,409,473"
METIS/ Metis Token ,58.618,-2.64 %,61/57,"3,206,986.12","$121,490,377"
SOS/ OpenDAO ,0.000000997,-3.10 %,0.00000105/0.000000958,"3,143,282.52","$38,190,932"
GARI/ GARI Network ,0.54643,+8.86 %,0.5595/0.49095,"3,123,584.89","$38,250,100"
CELO/ CeloGold ,2.784,+1.90 %,2.814/2.642,"3,090,547.06","$1,077,717,673"
EVER/Everscale(EVER,0.3706,+2.31 %,0.3786/0.3441,"3,014,613.72",$-
ALGO/ Algorand ,0.664,-0.22 %,0.6782/0.643,"2,987,843.96","$4,455,325,874"
SNX/ Synthetix ,5.796,-5.12 %,6.179/5.377,"2,977,061.13","$810,354,189"
LTC/ Litecoin ,100.32,+0.15 %,101.95/96.2336699999,"2,945,108.01","$7,038,407,310"
CRO/ Crypto.com Coin ,0.38789,+1.49 %,0.39/0.37588,"2,907,692.97","$8,512,679,990"
PLATO/PlatoFarm,0.027748,-4.76 %,0.03378/0.027,"2,899,235.22",$1
AXS/ Axie Infinity ,38.204,-3.56 %,40.115/37.969,"2,895,684.91","$2,326,910,130"
NUM/Numbers Protocol,0.348389,+14.30 %,0.381779/0.295396,"2,847,690.64",$-
RMRK/RMRK,10.7866,-0.27 %,11.3583/10.6653,"2,663,379.29","$96,000,740"
EGLD/ Elrond ,149.29,+1.19 %,152.53/143.69,"2,651,911.33","$3,256,347,070"
HNT/ Helium ,16.46,+1.23 %,16.99/15.75,"2,646,886.76","$1,167,251,090"
FTT/ FTX Token ,39.32,-0.95 %,39.93/38.3,"2,624,436.58","$5,386,531,259"
ICP/ Internet Computer ,15.18,-0.06 %,15.59/14.53,"2,522,372.15","$3,411,120,327"
STX/ Stacks ,1.0445,+0.21 %,1.0584/1.0101,"2,492,813.54","$1,367,140,233"
API3/ API3 ,4.024,+1.95 %,4.094/3.785,"2,435,650.47","$82,178,128"
DODO/ DODO ,0.3568,+0.19 %,0.3655/0.341,"2,383,010.69","$39,444,941"
BBF/Bubblefong,29.417,-4.75 %,33.5/29.4,"2,343,292.79","$1,088"
