name,price,change,high_low,volume,marketcap
BTC/USDT,"39,019.",+1.69%,,"496,884,577.8","12,876.50010647"
ETH/USDT,"2,865.68",+0.4%,,"198,164,744.43","69,478.5913257"
LUNA/USDT,89.22,USD,,"191,452,707.4402","2,154,654.4223"
APE/USDT,19.67,USD,,"114,220,874.2312","6,123,065.6606"
DOGE/USDT,0.13996,-0.73%,,"78,560,646.16808","559,809,655.0042"
XRP/USDT,0.6472,-0.59%,,"51,680,447.88167","79,760,096.7448"
NEAR/USDT,12.7151,-3.51%,,"50,270,590.1016","3,889,216.1427"
SOL/USDT,98.025,+0.53%,,"42,157,062.851","431,385.2401"
JASMY/USDT,0.02049,-2.05%,,"39,818,543.89557","1,924,612,443.8959"
AVAX/USDT,69.65,+1.02%,,"26,486,406.626","380,413.1709"
SHIB/USDT,0.00002311,-0.43%,,"24,895,916.70112142","1,071,758,721,347.9852"
USDC/USDT,0.99988,0%,,"24,858,116.17457","24,846,173.2092"
RUNE/USDT,7.6487,+0.11%,,"15,949,301.6114","2,065,267.1447"
VRA/USDT,0.01691513,-3.97%,,"15,459,867.63302343","884,962,167.5093"
FTM/USDT,0.98598,-1.2%,,"15,191,486.92659","15,390,925.2297"
ADA/USDT,0.834596,+0.24%,,"13,020,918.082152","15,586,113.673"
SLP/USDT,0.01372,-1.15%,,"12,696,049.94864","913,150,350.7271"
MATIC/USDT,1.2574,-0.8%,,"12,300,943.1998","9,756,789.3118"
PYR/USDT,10.0371,-3.05%,,"11,669,220.4512","1,152,070.9766"
DOT/USDT,16.9114,-0.26%,,"11,407,343.1873","675,667.8519"
TRX/USDT,0.062534,-0.24%,,"11,052,998.142416","176,372,077.8106"
ATOM/USDT,21.5256,+4.2%,,"9,373,730.1707","443,917.7984"
ROSE/USDT,0.22032,+2.02%,,"8,463,521.43874","38,344,159.8967"
KDA/USDT,4.6342,-1.92%,,"7,991,766.3658","1,707,876.2367"
XMR/USDT,224.38,-6.68%,,"7,932,946.6","34,378.9961"
KOK/USDT,2.9462,-0.32%,,"6,894,538.0447","2,346,247.3265"
LTC/USDT,100.332,+0.07%,,"6,184,579.424","62,034.091323"
LINK/USDT,12.6574,-0.09%,,"6,159,279.0391","491,318.2872"
VET/USDT,0.0515128,-1.01%,,"5,686,403.8674623","110,058,948.7964"
WAVES/USDT,15.8462,+1.49%,,"5,169,109.2837","326,522.4461"
NFT/USDT,0.000001545,+0.98%,,"5,107,174.416268066","3,329,061,700,391.3218"
QRDO/USDT,1.7372,-4.41%,,"4,599,426.6313","2,657,795.753"
GLMR/USDT,3.0013,-4.53%,,"4,568,986.5748","1,507,228.3532"
XLM/USDT,0.184476,+1.55%,,"4,448,636.567049","24,312,703.2598"
ALGO/USDT,0.6631,-0.19%,,"4,428,185.8794","6,689,581.4994"
SAND/USDT,2.5273,-1.28%,,"4,281,516.86784","1,702,888.5524"
