name,price,change,high_low,volume,marketcap
BTC/USDT,"38,871.96/ 38,876.01 USD",1.25 %,"39,460.47/37,705.96","775,193,343.51 USDT",
ETH/USDT,"2,852.34/ 2,852.64 USD",-0.11 %,"2,919.55/2,767.72","499,510,842.31 USDT",
BTC/USDC,"38,877.48/ 38,881.53 USD",1.24 %,"39,445.20/37,757.36","86,002,357.94 USDC",
USDC/USDT,1.0000/ 1 USD,0.02 %,1.0002/0.9998,"62,629,879.9221 USDT",
BUSD/USDT,1.0000/ 1 USD,0.01 %,1.0002/0.9998,"61,562,672.4276 USDT",
ETH/USDC,"2,851.79/ 2,852.09 USD",-0.15 %,"2,918.06/2,768.64","45,895,844.68 USDC",
TUSD/USDT,0.9999/ 1 USD,-0.01 %,1.0002/0.9999,"42,496,667.4701 USDT",
BNB/USDT,388.59/ 388.63 USD,-0.11 %,394.61/381.49,"24,176,998.98 USDT",
DAI/USDT,0.9998/ 1 USD,0.02 %,1.0001/0.9993,"22,453,084.9298 USDT",
BCH/USDT,305.30/ 305.33 USD,1.56 %,309.31/291.49,"20,833,842.38 USDT",
USDP/USDT,1.0000/ 1 USD,0.02 %,1.0002/0.9996,"8,699,080.2623 USDT",
DOGE/USDT,0.138702/ 0.139 USD,-2.05 %,0.145584/0.135198,"8,695,943.587210 USDT",
SAND/USDT,2.5184/ 2.52 USD,-1.41 %,2.5741/2.4380,"8,503,471.4808 USDT",
LTC/USDT,99.90/ 99.91 USD,-0.20 %,101.84/96.67,"8,258,218.05 USDT",
AMA/USDT,0.050331/ 0.0503 USD,6.24 %,0.053000/0.046001,"6,646,291.401411 USDT",
BOBC/USDT,2.9275/ 2.93 USD,-5.07 %,3.0876/2.8301,"6,533,943.2882 USDT",
LUNA/USDT,88.9100/ 88.9 USD,-0.26 %,90.5301/86.9199,"6,317,246.9512 USDT",
APE/USDT,19.5434/ 19.54 USD,10.23 %,19.7902/17.7022,"5,474,248.3907 USDT",
NEAR/USDT,12.5953/ 12.6 USD,-3.90 %,13.2720/12.3864,"4,758,312.7731 USDT",
GALA/USDT,0.168170/ 0.168 USD,-2.15 %,0.172860/0.161729,"4,360,115.308264 USDT",
SOL/USDT,97.56/ 97.57 USD,0.11 %,100.70/94.62,"4,047,388.39 USDT",
FTM/USDT,0.9845/ 0.984 USD,-1.39 %,1.0156/0.9595,"3,995,767.8171 USDT",
SHIB/USDT,0.0000230400/ 0.000023 USD,-0.82 %,0.0000239801/0.0000225964,"3,910,619.8862606382 USDT",
MR/USDT,0.000180970/ 0.000181 USD,3.14 %,0.000182940/0.000172661,"3,828,861.518243910 USDT",
MATIC/USDT,1.253000/ 1.25 USD,-1.18 %,1.291000/1.224999,"3,821,998.479556 USDT",
GMT/USDT,3.87158/ 3.87 USD,19.88 %,3.91331/3.17530,"3,721,314.03048 USDT",
AXS/USDT,37.8900/ 37.89 USD,-3.51 %,40.1200/37.8900,"3,678,143.3990 USDT",
MCONTENT/USDT,0.000000008942/ &lt; 0.000001 USD,1.49 %,0.000000009400/0.000000008638,"3,636,229.889922336620 USDT",
ADA/USDT,0.8316/ 0.832 USD,-0.36 %,0.8552/0.8175,"3,012,120.5515 USDT",
ENS/USDT,18.56/ 18.55 USD,27.91 %,19.25/14.08,"2,747,476.04 USDT",
PIE/USDT,0.35838/ 0.358 USD,-28.27 %,0.50000/0.35755,"2,663,954.46752 USDT",
MELON/USDT,0.3160/ 0.316 USD,-7.47 %,0.3504/0.3000,"2,335,049.6502 USDT",
SLP/USDT,0.013700/ 0.0137 USD,-1.37 %,0.014460/0.013580,"2,331,513.944857 USDT",
ZRX/USDT,0.8605/ 0.861 USD,9.67 %,0.9091/0.7781,"2,294,322.8323 USDT",
MANA/USDT,1.8345/ 1.83 USD,-0.87 %,1.8881/1.7807,"1,946,618.4774 USDT",
LOCUS/USDT,0.16348999/ 0.164 USD,-1.49 %,0.16998998/0.15850000,"1,837,385.28586855 USDT",
OUD/USDT,0.017986/ 0.0180 USD,22.45 %,0.018990/0.012488,"1,810,826.207246 USDT",
ATOM/USDT,21.4000/ 21.4 USD,3.28 %,21.8579/20.0100,"1,658,766.6499 USDT",
TRX/USDT,0.062480/ 0.0625 USD,-0.68 %,0.063670/0.061670,"1,566,568.437876 USDT",
AAVE/USDT,170.4000/ 170.42 USD,6.83 %,175.0000/155.4000,"1,564,507.4610 USDT",
NYM/USDT,1.073300/ 1.07 USD,-6.02 %,1.159900/1.022700,"1,491,050.983445 USDT",
MRHB/USDT,0.035987/ 0.0360 USD,-0.52 %,0.036190/0.035457,"1,371,212.434882 USDT",
GAIA/USDT,0.0441688/ 0.0442 USD,-8.64 %,0.0506355/0.0438253,"1,350,503.9066731 USDT",
EOS/USDT,2.2270/ 2.23 USD,-0.58 %,2.2810/2.1502,"1,335,216.9908 USDT",
ADS/USDT,4.4282/ 4.43 USD,-0.01 %,4.6029/4.1579,"1,304,304.5387 USDT",
VODKA/USDT,0.00056516/ 0.000565 USD,-0.94 %,0.00057295/0.00056002,"1,252,735.18185612 USDT",
LED/USDT,0.1750/ 0.175 USD,-2.51 %,0.2101/0.1579,"1,197,311.5053 USDT",
TVG/USDT,0.0362/ 0.0362 USD,2.26 %,0.0368/0.0343,"1,164,625.1846 USDT",
VET/USDT,0.051380/ 0.0514 USD,-1.10 %,0.052900/0.050440,"1,121,843.933980 USDT",
KLAY/USDT,0.8250/ 0.825 USD,-4.07 %,0.8633/0.8239,"1,054,629.5238 USDT",
BMX/USDT,0.3015/ 0.301 USD,-0.99 %,0.3045/0.2971,"1,010,836.2857 USDT",
NWC/USDT,0.2456/ 0.246 USD,0.95 %,0.2596/0.2339,"1,002,245.9168 USDT",
GMM/USDT,0.009249/ 0.00925 USD,-3.56 %,0.010545/0.009011,"958,401.223672 USDT",
KUNCI/USDT,0.193045/ 0.193 USD,-3.21 %,0.203113/0.180001,"955,591.441780 USDT",
BOT/USDT,0.01794/ 0.0179 USD,-12.45 %,0.02135/0.01751,"941,432.78196 USDT",
AVAX/USDT,69.4548/ 69.46 USD,0.60 %,71.7094/68.2519,"939,343.8283 USDT",
OVR/USDT,1.4031/ 1.4 USD,2.08 %,1.4412/1.3211,"906,738.7710 USDT",
BSHEESHA/USDT,81.635/ 81.64 USD,-0.50 %,83.427/80.416,"898,898.766 USDT",
STEP/USDT,0.02600/ 0.0260 USD,-1.07 %,0.03279/0.01652,"866,986.84580 USDT",
FIL/USDT,17.5400/ 17.54 USD,-1.68 %,18.0000/17.0091,"864,817.7605 USDT",
SG/USDT,0.1869/ 0.187 USD,2.81 %,0.2117/0.1704,"814,058.0702 USDT",
MVP/USDT,0.02032/ 0.0203 USD,2.11 %,0.02049/0.01920,"791,261.84354 USDT",
BNT/USDT,2.139001/ 2.14 USD,0.99 %,2.154001/2.055000,"790,591.988178 USDT",
AR/USDT,26.3400/ 26.34 USD,4.23 %,28.2000/24.8100,"780,786.1881 USDT",
