name,price,change,high_low,volume,marketcap
BTC/USDT,"39,118.40/ $39,118.40",+2.17%,"39,474.72 / 37,702.26","2,579.74M","$744,166.92M"
ETH/USDT,"2,874.31/ $2,874.31",+0.78%,"2,919.87 / 2,767.00","1,629.43M","$346,484.60M"
GMT/USDT,3.80787/ $3.81,+18.57%,3.93933 / 3.17000,854.07M,"$2,286.00M"
BUSD/USDT,1.0000/ $1.00,+0.01%,1.0001 / 0.9998,542.62M,"$17,552.94M"
APE/USDT,19.5300/ $19.53,+11.33%,19.7800 / 17.5029,532.27M,"$5,562.99M"
DOGE/USDT,0.1404/ $0.14,-0.14%,0.1456 / 0.1350,441.29M,"$18,626.97M"
LUNA/USDT,89.09/ $89.09,-0.38%,90.64 / 86.74,324.78M,"$30,869.69M"
BNB/USDT,390.3/ $390.30,+0.23%,394.8 / 380.8,248.69M,"$63,727.00M"
XRP/USDT,0.6478/ $0.64,-0.37%,0.6630 / 0.6276,224.26M,"$31,162.57M"
NEAR/USDT,12.797/ $12.80,-3.37%,13.299 / 12.362,219.95M,"$8,712.99M"
SOL/USDT,98.24/ $98.24,+1.10%,100.79 / 94.61,199.62M,"$32,783.02M"
UST/USDT,1.0002/ $1.00,-0.03%,1.0008 / 1.0000,175.05M,"$18,375.95M"
SHIB/USDT,0.00002315/ $0.00,-0.09%,0.00002399 / 0.00002256,171.22M,"$12,628.45M"
ADA/USDT,0.8374/ $0.83,-0.30%,0.8562 / 0.8150,149.91M,"$28,264.39M"
USDC/USDT,0.9999/ $0.99,+0.00%,1.0001 / 0.9999,121.37M,"$49,467.71M"
BSW/USDT,1.2305/ $1.23,+12.87%,1.3700 / 1.0589,97.14M,$271.20M
AVAX/USDT,69.95/ $69.95,+1.67%,71.98 / 67.50,95.42M,"$18,792.20M"
SLP/USDT,0.01377/ $0.01,-0.36%,0.01450 / 0.01356,80.27M,$74.01M
AAVE/USDT,172.9/ $172.90,+4.47%,175.5 / 154.5,79.93M,"$2,366.09M"
DOT/USDT,17.00/ $17.00,+0.35%,17.27 / 16.40,78.27M,"$16,788.84M"
JASMY/USDT,0.0205/ $0.02,-1.44%,0.0214 / 0.0201,76.10M,$97.47M
RUNE/USDT,7.642/ $7.64,+0.14%,8.199 / 7.435,75.97M,"$2,526.45M"
ATOM/USDT,21.58/ $21.58,+4.50%,21.88 / 19.97,75.18M,"$6,179.87M"
ZRX/USDT,0.8558/ $0.85,+8.25%,0.9113 / 0.7735,74.37M,$725.28M
TRX/USDT,0.06265/ $0.06,+0.10%,0.06372 / 0.06158,72.32M,"$6,367.80M"
ZIL/USDT,0.09445/ $0.09,+0.54%,0.09724 / 0.09001,68.88M,"$1,199.99M"
FTM/USDT,0.9849/ $0.98,-0.88%,1.0158 / 0.9578,66.79M,"$2,506.57M"
STEEM/USDT,0.5370/ $0.53,+14.11%,0.5900 / 0.4107,66.74M,$212.08M
MATIC/USDT,1.261/ $1.26,-0.32%,1.292 / 1.224,65.91M,"$9,884.53M"
SAND/USDT,2.5360/ $2.54,-1.20%,2.5773 / 2.4310,61.64M,"$2,942.43M"
ENS/USDT,18.73/ $18.73,+29.15%,19.20 / 14.02,61.42M,$379.38M
WAVES/USDT,16.19/ $16.19,+3.78%,16.86 / 14.78,57.60M,"$1,750.32M"
GALA/USDT,0.16942/ $0.16,-1.32%,0.17293 / 0.16111,54.58M,"$1,182.07M"
ROSE/USDT,0.22096/ $0.22,+2.26%,0.23163 / 0.20625,51.75M,$771.81M
LINK/USDT,12.74/ $12.74,+0.55%,12.80 / 12.14,46.29M,"$5,949.70M"
KNC/USDT,5.417/ $5.42,+3.93%,5.587 / 5.090,45.19M,$963.72M
OGN/USDT,0.5283/ $0.52,+0.27%,0.5704 / 0.5017,42.69M,$205.28M
FIL/USDT,17.59/ $17.59,-1.79%,18.02 / 17.00,42.50M,"$3,405.00M"
CAKE/USDT,7.547/ $7.55,-2.22%,7.848 / 7.357,39.64M,"$2,188.60M"
VET/USDT,0.05171/ $0.05,-0.77%,0.05297 / 0.05033,38.00M,"$3,325.75M"
GRT/USDT,0.3526/ $0.35,-5.57%,0.3748 / 0.3325,37.74M,"$1,662.76M"
AXS/USDT,38.22/ $38.22,-2.85%,40.13 / 37.92,35.67M,"$2,327.88M"
EUR/USDT,1.056/ $1.06,-0.66%,1.066 / 1.051,35.53M,–
LTC/USDT,100.5/ $100.50,+0.00%,102.0 / 96.3,34.12M,"$7,050.97M"
EOS/USDT,2.244/ $2.24,-0.04%,2.283 / 2.146,33.55M,"$2,213.01M"
MANA/USDT,1.8532/ $1.85,+0.24%,1.8905 / 1.7751,32.92M,"$3,408.58M"
SNX/USDT,5.974/ $5.97,+5.47%,6.038 / 5.367,30.61M,$685.60M
XMR/USDT,224.5/ $224.50,-6.11%,244.4 / 223.3,30.50M,"$4,066.40M"
ALPINE/USDT,5.7961/ $5.80,+6.32%,6.3296 / 5.1939,28.68M,$65.88M
ETC/USDT,31.02/ $31.02,-1.27%,31.68 / 29.84,28.61M,"$4,171.16M"
