name,price,change,high_low,volume,marketcap
GT/ GateToken ,6.1949,-0.05 %,6.2255/6.1033,"4,774,535.11","$810,460,653"
BTC/ Bitcoin ,39132.99,+1.91 %,39465.9/37707.01,"175,424,674.47","$744,400,688,800"
ETH/ Ethereum ,2874.75,+0.49 %,2919.53/2766.21,"119,268,373.24","$346,528,995,065"
DOGE/ DogeCoin ,0.14025,-0.88 %,0.145656/0.13501,"88,868,132.03","$18,607,074,693"
GMT/ StepN ,3.82241,+18.21 %,3.91945/3.17255,"59,055,440.38","$2,293,446,000"
JASMY/ JasmyCoin ,0.02058,-1.71 %,0.021488/0.020101,"49,616,762.95","$97,856,475"
APE/ ApeCoin ,19.5023,+10.81 %,19.7777/17.5083,"47,958,144.51","$5,555,108,266"
XRP/ Ripple ,0.64804,-0.79 %,0.66309/0.62752,"46,197,486.14","$31,193,541,268"
LUNA/ Terra ,89.0532,-0.75 %,90.6495/86.7266,"45,962,409.82","$31,313,599,589"
NEAR/ Near ,12.821,-3.63 %,13.3/12.385,"43,624,005.47","$8,685,351,608"
SHIB/ Shiba Inu ,0.000023159,-0.47 %,0.000023983/0.000022565,"40,348,129.25","$12,715,756,475"
DOT/ Polkadot ,17.005,+0.10 %,17.272/16.411,"28,966,699.04","$16,793,786,235"
FITFI/Step.app,0.3174465,-5.86 %,0.37555/0.23,"28,360,687.58",$-
BNB/ Binance Coin ,390.2496,+0.09 %,394.8098/380.8511,"27,230,749.68","$65,615,088,308"
AVAX/ Avalanche ,70.015,+1.54 %,71.979/67.537,"26,896,398.50","$18,799,032,331"
POSI/Position Token,0.6354,-10.65 %,0.7242/0.6283,"23,134,758.03","$15,119,991"
ADA/ Cardano ,0.8381,-0.17 %,0.8561/0.8166,"22,577,114.85","$28,276,679,799"
SLP/ SmoothLovePotion ,0.01374,-1.00 %,0.01448/0.01356,"18,320,657.63","$29,474,165"
SOL/ Solana ,98.2908,+0.76 %,100.7476/94.6606,"17,809,326.91","$32,773,708,193"
FIL/ Filecoin(IPFS) ,17.59,-1.84 %,18.02/17.01,"17,265,168.96","$3,518,000,000"
AAVE/ AAVE ,173.35,+4.80 %,175.42/154.5,"15,643,896.82","$2,371,701,200"
EOS/ EOS ,2.242,-0.62 %,2.282/2.144,"15,360,108.66","$2,205,045,000"
KDA/ Kadena ,4.65,-1.33 %,4.8324/4.5501,"12,152,666.88","$774,270,765"
ENS/ ENS ,18.76,+28.89 %,19.04/14.032,"11,844,335.33","$256,870,681"
TRX/ TRON ,0.06262,-0.17 %,0.06369/0.06155,"10,608,887.12","$6,364,530,463"
ZIL/ Zilliqa ,0.09427,+0.17 %,0.09721/0.09018,"10,155,155.85","$1,194,878,597"
ELON/ Dogelon Mars ,0.0000010476,+6.12 %,0.000001077/0.0000009868,"10,130,121.80","$582,108,285"
FLUX/ Flux ,1.31625,+2.05 %,1.43745/1.26975,"9,949,479.28","$193,334,674"
ROSE/ Oasis Network ,0.22131,+1.65 %,0.23173/0.20619,"9,926,127.86","$773,038,996"
VRA/ Verasity ,0.016967,-3.70 %,0.018256/0.016583,"9,623,811.10","$75,845,635"
MATIC/ Polygon ,1.26061,-0.72 %,1.29169/1.22328,"8,736,295.25","$9,843,463,202"
ETC/ Ethereum Classic ,31.039,-1.28 %,31.684/29.861,"8,150,349.79","$4,168,651,644"
GLMR/ Moonbeam Network ,3.0207,-4.08 %,3.1761/2.905,"8,099,476.15",$-
GRT/ The Graph ,0.3528,-5.54 %,0.3745/0.3327,"7,591,959.76","$1,663,711,379"
