name,price,change,high_low,volume,marketcap
BTC/USDT,"38,820.3",+1.11%,,"494,613,766.3","12,814.39025691"
ETH/USDT,"2,847.48",-0.29%,,"197,639,039.75","69,292.4132803"
LUNA/USDT,88.8355,-0.5%,,"187,200,397.5937","2,106,897.014"
APE/USDT,19.5219,+9.86%,,"114,985,215.5648","6,156,503.9869"
DOGE/USDT,0.13857,-2.24%,,"78,658,880.81823","560,603,742.287"
XRP/USDT,0.6438,-1.31%,,"51,743,687.15281","79,864,138.4254"
NEAR/USDT,12.5929,-4.24%,,"50,203,016.2157","3,885,582.5671"
SOL/USDT,97.452,+0.03%,,"41,823,375.97","427,928.9371"
JASMY/USDT,0.0205,-1.81%,,"39,693,232.16688","1,918,838,048.6627"
AVAX/USDT,69.322,+0.65%,,"26,420,493.001","379,410.0062"
SHIB/USDT,0.00002304,-0.81%,,"25,082,461.44774649","1,079,857,619,623.2128"
USDC/USDT,0.99987,0%,,"24,811,229.7341","24,799,283.8065"
RUNE/USDT,7.6146,-0.29%,,"15,840,748.7725","2,051,043.5719"
VRA/USDT,0.01684477,-5.22%,,"15,430,893.01066476","884,023,265.5401"
FTM/USDT,0.98384,-1.71%,,"15,019,126.80366","15,219,541.6321"
ADA/USDT,0.830962,-0.51%,,"12,921,758.80454","15,466,959.1372"
SLP/USDT,0.01368,-1.58%,,"12,766,688.39177","918,391,569.3917"
MATIC/USDT,1.2524,-1.23%,,"12,239,066.3281","9,708,531.3552"
PYR/USDT,9.9184,-3.23%,,"11,670,362.3659","1,152,838.0884"
DOT/USDT,16.8257,-0.97%,,"11,277,586.8394","668,038.291"
TRX/USDT,0.062466,-0.74%,,"11,027,163.206452","175,962,837.9619"
ATOM/USDT,21.383,+3.03%,,00,"9,412,813.26"
ROSE/USDT,0.21855,+0.24%,,"8,510,981.25809","38,550,753.6362"
XMR/USDT,224.88,-7.64%,,"8,069,785.07","35,040.3899"
KDA/USDT,4.6285,-1.88%,,"7,986,840.3869","1,707,042.7317"
KOK/USDT,2.9506,-0.16%,,"6,921,636.0577","2,355,453.6082"
LTC/USDT,99.887,-0.19%,,"6,251,349.978","62,700.216601"
LINK/USDT,12.5748,-0.89%,,"6,189,093.3588","493,687.3764"
VET/USDT,0.0513394,-1.38%,,"5,658,514.0203407","109,533,889.1204"
WAVES/USDT,15.7881,+1.11%,,"5,171,709.944","326,652.8806"
NFT/USDT,0.000001546,+0.65%,,"5,122,379.345949718","3,338,372,690,405.2236"
QRDO/USDT,1.7328,-4.44%,,"4,573,245.0273","2,643,469.7816"
GLMR/USDT,2.9996,-4.7%,,"4,565,196.0617","1,506,348.9197"
ALGO/USDT,0.6597,-0.94%,,"4,456,996.6867","6,733,512.7742"
XLM/USDT,0.183822,+0.69%,,"4,426,217.241137","24,185,232.0626"
SAND/USDT,2.51738,-1.46%,,"4,262,179.61407","1,695,542.3691"
